fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
28940,20032278,Driver,Female,84,75_or_older
28941,20033183,Driver,Male,34,26_to_39
28942,20035149,Passenger,Male,25,17_to_25
28943,20031418,Driver,Male,29,26_to_39
28944,20032144,Pedal cyclist,Male,43,40_to_64
28945,20032206,Pedestrian,Female,41,40_to_64
28946,20032233,Motorcycle rider,Male,48,40_to_64
28947,20032203,Driver,Male,21,17_to_25
28948,20031375,Passenger,Male,64,40_to_64
28949,20031375,Passenger,Female,61,40_to_64
28950,20037003,Passenger,Male,24,17_to_25
28951,20034106,Driver,Female,40,40_to_64
28952,20032005,Driver,Male,65,65_to_74
28953,20034105,Driver,Male,34,26_to_39
28954,20036023,Passenger,Male,36,26_to_39
28955,20033020,Driver,Female,20,17_to_25
28956,20031290,Driver,Male,18,17_to_25
28957,20033169,Driver,Male,20,17_to_25
28958,20031409,Pedestrian,Male,39,26_to_39
28959,20031216,Passenger,Female,34,26_to_39
28960,20031216,Driver,Male,32,26_to_39
28961,20032223,Pedestrian,Female,48,40_to_64
28962,20032225,Driver,Male,23,17_to_25
28963,20037028,Driver,Male,66,65_to_74
28964,20031360,Passenger,Male,31,26_to_39
28965,20031197,Driver,Male,50,40_to_64
28966,20033194,Driver,Male,23,17_to_25
28967,20035098,Driver,Female,66,65_to_74
28968,20031046,Passenger,Male,25,17_to_25
28969,20031046,Driver,Male,22,17_to_25
28970,20034135,Passenger,Female,2,0_to_16
28971,20032198,Driver,Male,79,75_or_older
28972,20032201,Pedestrian,Male,13,0_to_16
28973,20032145,Passenger,Male,21,17_to_25
28974,20032145,Driver,Male,35,26_to_39
28975,20033252,Driver,Male,34,26_to_39
28976,20035018,Driver,Male,20,17_to_25
28977,20035018,Passenger,Male,19,17_to_25
28978,20035102,Motorcycle pillion passenger,Female,24,17_to_25
28979,20035102,Motorcycle rider,Male,41,40_to_64
28980,20031384,Driver,Female,37,26_to_39
28981,20032131,Passenger,Male,23,17_to_25
28982,20032131,Passenger,Male,26,26_to_39
28983,20032131,Passenger,Male,19,17_to_25
28984,20033117,Driver,Male,24,17_to_25
28985,20031269,Passenger,Female,45,40_to_64
28986,20031355,Driver,Male,62,40_to_64
28987,20031038,Pedestrian,Female,80,75_or_older
28988,20032165,Motorcycle rider,Male,46,40_to_64
28989,20033006,Driver,Male,83,75_or_older
28990,20031359,Driver,Female,28,26_to_39
28991,20031031,Driver,Male,78,75_or_older
28992,20034094,Driver,Female,45,40_to_64
28993,20031266,Passenger,Male,2,0_to_16
28994,20031130,Driver,Female,49,40_to_64
28995,20033065,Driver,Male,22,17_to_25
28996,20038007,Passenger,Female,0,0_to_16
28997,20038007,Passenger,Female,22,17_to_25
28998,20031088,Driver,Male,18,17_to_25
28999,20031164,Driver,Male,47,40_to_64
29000,20037009,Pedestrian,Female,36,26_to_39
29001,20031429,Passenger,Male,53,40_to_64
29002,20031357,Pedestrian,Male,19,17_to_25
29003,20032094,Passenger,Female,18,17_to_25
29004,20032094,Passenger,Male,26,26_to_39
29005,20033184,Driver,Male,21,17_to_25
29006,20034018,Pedestrian,Male,40,40_to_64
29007,20034109,Driver,Male,20,17_to_25
29008,20035021,Pedestrian,Male,28,26_to_39
29009,20032169,Passenger,Male,27,26_to_39
29010,20033081,Motorcycle rider,Male,35,26_to_39
29011,20033081,Motorcycle rider,Male,38,26_to_39
29012,20035059,Pedestrian,Male,31,26_to_39
29013,20034050,Driver,Female,94,75_or_older
29014,20033098,Motorcycle rider,Male,53,40_to_64
29015,20035040,Driver,Female,64,40_to_64
29016,20035040,Passenger,Male,45,40_to_64
29017,20031261,Pedal cyclist,Female,30,26_to_39
29018,20031016,Driver,Female,46,40_to_64
29019,20031306,Motorcycle rider,Male,16,0_to_16
29020,20032103,Driver,Male,35,26_to_39
29021,20032267,Pedestrian,Male,40,40_to_64
29022,20032142,Passenger,Female,1,0_to_16
29023,20032142,Driver,Female,35,26_to_39
29024,20032148,Driver,Male,23,17_to_25
29025,20032164,Driver,Male,40,40_to_64
29026,20031155,Pedestrian,Male,23,17_to_25
29027,20034116,Driver,Male,20,17_to_25
29028,20032247,Driver,Male,21,17_to_25
29029,20031253,Motorcycle rider,Male,46,40_to_64
29030,20034118,Driver,Male,47,40_to_64
29031,20031189,Driver,Male,76,75_or_older
29032,20032101,Driver,Female,28,26_to_39
29033,20034097,Driver,Male,54,40_to_64
29034,20032157,Driver,Male,40,40_to_64
29035,20031367,Motorcycle rider,Male,30,26_to_39
29036,20032072,Motorcycle rider,Male,30,26_to_39
29037,20031113,Passenger,Female,4,0_to_16
29038,20031113,Driver,Male,26,26_to_39
29039,20033188,Passenger,Female,20,17_to_25
29040,20031278,Driver,Male,25,17_to_25
29041,20031067,Driver,Female,28,26_to_39
29042,20034056,Pedestrian,Female,41,40_to_64
29043,20032281,Driver,Female,40,40_to_64
29044,20032025,Driver,Male,38,26_to_39
29045,20032160,Motorcycle rider,Male,28,26_to_39
29046,20031202,Pedestrian,Female,72,65_to_74
29047,20033129,Driver,Male,43,40_to_64
29048,20031369,Driver,Male,19,17_to_25
29049,20031369,Passenger,Male,42,40_to_64
29050,20038008,Driver,Male,49,40_to_64
29051,20032097,Driver,Female,40,40_to_64
29052,20032087,Driver,Male,63,40_to_64
29053,20032087,Pedestrian,Female,71,65_to_74
29054,20034010,Passenger,Male,61,40_to_64
29055,20034015,Driver,Male,63,40_to_64
29056,20031282,Driver,Female,83,75_or_older
29057,20033071,Driver,Male,31,26_to_39
29058,20032293,Pedestrian,Female,87,75_or_older
29059,20031476,Driver,Male,40,40_to_64
29060,20031003,Driver,Male,25,17_to_25
29061,20031252,Driver,Male,38,26_to_39
29062,20032218,Driver,Male,23,17_to_25
29063,20032235,Driver,Male,43,40_to_64
29064,20032235,Driver,Male,42,40_to_64
29065,20031094,Driver,Female,37,26_to_39
29066,20034120,Passenger,Female,16,0_to_16
29067,20032057,Passenger,Male,32,26_to_39
29068,20033215,Driver,Male,50,40_to_64
29069,20033087,Driver,Male,48,40_to_64
29070,20032062,Driver,Male,87,75_or_older
29071,20035089,Driver,Male,63,40_to_64
29072,20032067,Motorcycle rider,Male,39,26_to_39
29073,20033246,Pedestrian,Female,9,0_to_16
29074,20031365,Pedestrian,Male,4,0_to_16
29075,20033211,Motorcycle rider,Male,35,26_to_39
29076,20031336,Driver,Female,20,17_to_25
29077,20035155,Passenger,Female,4,0_to_16
29078,20035155,Passenger,Female,6,0_to_16
29079,20031141,Driver,Male,18,17_to_25
29080,20034110,Pedestrian,Male,79,75_or_older
29081,20032135,Driver,Female,86,75_or_older
29082,20031248,Passenger,Female,58,40_to_64
29083,20031123,Motorcycle rider,Male,34,26_to_39
29084,20032230,Driver,Female,41,40_to_64
29085,20032230,Passenger,Female,19,17_to_25
29086,20032230,Passenger,Male,0,0_to_16
29087,20032230,Driver,Male,30,26_to_39
29088,20033032,Pedestrian,Male,55,40_to_64
29089,20032081,Passenger,Female,34,26_to_39
29090,20034086,Passenger,Female,40,40_to_64
29091,20034130,Driver,Male,64,40_to_64
29092,20033074,Pedestrian,Male,24,17_to_25
29093,20033001,Driver,Male,66,65_to_74
29094,20036014,Driver,Male,63,40_to_64
29095,20035115,Driver,Male,45,40_to_64
29096,20031246,Motorcycle rider,Male,49,40_to_64
29097,20033227,Motorcycle rider,Male,35,26_to_39
29098,20034069,Driver,Male,58,40_to_64
29099,20031017,Driver,Male,25,17_to_25
29100,20031072,Passenger,Male,17,17_to_25
29101,20032204,Driver,Male,41,40_to_64
29102,20031410,Pedestrian,Male,78,75_or_older
29103,20031154,Passenger,Male,20,17_to_25
29104,20033044,Driver,Male,20,17_to_25
29105,20036010,Driver,Male,38,26_to_39
29106,20035078,Driver,Male,53,40_to_64
29107,20032034,Passenger,Female,47,40_to_64
29108,20032034,Driver,Male,51,40_to_64
29109,20037019,Driver,Female,57,40_to_64
29110,20033170,Pedestrian,Male,77,75_or_older
29111,20033242,Pedestrian,Male,47,40_to_64
29112,20032229,Driver,Male,49,40_to_64
29113,20036026,Driver,Female,76,75_or_older
29114,20036026,Passenger,Male,79,75_or_older
29115,20033256,Driver,Male,60,40_to_64
29116,20032260,Driver,Male,45,40_to_64
29117,20032265,Passenger,Male,20,17_to_25
29118,20035127,Pedestrian,Male,7,0_to_16
29119,20034089,Passenger,Female,9,0_to_16
29120,20031341,Passenger,Female,44,40_to_64
29121,20035074,Motorcycle rider,Male,55,40_to_64
29122,20032035,Passenger,Male,34,26_to_39
29123,20032140,Driver,Male,18,17_to_25
29124,20032140,Passenger,Male,16,0_to_16
29125,20035123,Passenger,Male,17,17_to_25
29126,20031041,Driver,Male,28,26_to_39
29127,20033089,Driver,Female,43,40_to_64
29128,20032110,Driver,Male,19,17_to_25
29129,20031465,Passenger,Male,18,17_to_25
29130,20037031,Passenger,Male,16,0_to_16
29131,20032132,Passenger,Female,50,40_to_64
29132,20031319,Driver,Female,79,75_or_older
29133,20031033,Driver,Male,73,65_to_74
29134,20035071,Passenger,Female,37,26_to_39
29135,20035071,Driver,Male,39,26_to_39
29136,20033028,Passenger,Female,12,0_to_16
29137,20033028,Driver,Male,50,40_to_64
29138,20033028,Passenger,Female,12,0_to_16
29139,20033226,Motorcycle rider,Male,34,26_to_39
29140,20035057,Driver,Male,18,17_to_25
29141,20035057,Passenger,Male,17,17_to_25
29142,20031027,Motorcycle rider,Male,41,40_to_64
29143,20032210,Passenger,Female,69,65_to_74
29144,20037002,Unknown,Male,22,17_to_25
29145,20032237,Driver,Male,22,17_to_25
